﻿﻿"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_techies_stasis_trap"						"Cheeki Trap"
		"DOTA_Tooltip_ability_techies_stasis_trap_Description"						"Plant an invisible trap that roots nearby enemy units when triggered."
		"DOTA_Tooltip_ability_built_in_dagon"						"Built in Dagon"
		"DOTA_Tooltip_ability_built_in_dagon_Description"						"A truly cheeki breeeki will always find a way to get Dagon 5"
		"DOTA_Tooltip_ability_built_in_dagon_damage"						"Damage:"
		"DOTA_Tooltip_ability_torm_spirit_electric_vortex"						"Cheeki Tether"
		"DOTA_Tooltip_ability_torm_spirit_electric_vortex_Description"						"Latch onto an enemy and drag them to your position, a slow and inevitable death."
		"DOTA_Tooltip_ability_slardar_sprint"						"Spindash"
		"DOTA_Tooltip_ability_slardar_sprint_Description"				"Sonic speed ahead, passing through units and leaving his foes in the dust"		
		"DOTA_Tooltip_ability_doom_bringer_scorched_earth"						"You're too sloooooow!"
		"DOTA_Tooltip_ability_doom_bringer_scorched_earth_Description"						"Sonic moves so fast he kicks up flames, damaging enemys around him."
		"DOTA_Tooltip_ability_axe_culling_blade"						"Too Fast"
		"DOTA_Tooltip_ability_axe_culling_blade_Description"						"Sonic uses his intense speed to instantly vaporise an enemy on low health, the resulting blood lust pushes his speed beyond the sound barrier"
		"DOTA_Tooltip_ability_helix_deliberate"						"Deliberate Helix"
		"DOTA_Tooltip_ability_helix_deliberate_Description"				"Why would you wait for someone to attack you? That's so stupid man."	
		"DOTA_Tooltip_ability_helix_deliberate_abilitydamage"				"Damage:"				
		"DOTA_Tooltip_ability_magnataur_skewer"						"Momentum Helix"
		"DOTA_Tooltip_ability_magnataur_skewer_Description"						"Counter Helix but rather than swinging his axe, Axe charges forward, catching people on the front of his axe."
		"DOTA_Tooltip_ability_helix_stun"						"Stunning Helix"
		"DOTA_Tooltip_ability_helix_stun_Description"						"Counter Helix but it also stuns :)"
		"DOTA_Tooltip_ability_helix_stun_abilitydamage"						"Damage:"
		"DOTA_Tooltip_ability_helix_stun_stun"						"Stun Duration:"
		"DOTA_Tooltip_ability_selfdestruct_datadriven"						"Self Destruct"
		"DOTA_Tooltip_ability_selfdestruct_datadriven_Description"						"Once it's systems detect death is inevitable, Meepobot self destructs, dealing damage to everyone in an AOE"
		"DOTA_Tooltip_ability_selfdestruct_datadriven_radius"						"Radius:"
		"DOTA_Tooltip_ability_selfdestruct_datadriven_abilitydamage"						"Damage:"
		"DOTA_Tooltip_ability_meepobot_datadriven"						"Instant Repair"
		"DOTA_Tooltip_ability_meepobot_datadriven_Description"						"Whenever Meepobot detects damage it's automated repair systems activate to minimise the damage."
		"DOTA_Tooltip_ability_meepobot_datadriven_heal"						"heal:"
		"DOTA_Tooltip_ability_meepo_divided_we_stand"						"Mass Production"
		"DOTA_Tooltip_ability_meepo_divided_we_stand_Description"						"As Meepobot gets stronger, the factory they are produced in gets more advanced and is subsequently able to produce many Meepobots at once."
		"DOTA_Tooltip_ability_omni_emergency"						"Drop the Hammer"
		"DOTA_Tooltip_ability_omni_emergency_Description"						"Bashlord momentarily abandons all thought of bashing, disarming himself and allowing the soothing light of peace and harmony to wash over him. Then he goes back to bashing."
		"DOTA_Tooltip_ability_omni_emergency_heal"						"Heal:"
		"DOTA_Tooltip_ability_omni_emergency_duration"						"Duration:"	
		"DOTA_Tooltip_ability_omniknight_degen_aura"						";)"
		"DOTA_Tooltip_ability_omniknight_degen_aura_Description"						"Greatly degenerates the movement and attack capabilities of enemy units that stray too near."
		"DOTA_Tooltip_ability_slardar_bash"						"Minibash"
		"DOTA_Tooltip_ability_slardar_bash_Description"						"This guaranteed minibash allows even the least skilled bashlord to pummel their enemys into submission"
		"DOTA_Tooltip_ability_ultra_bash_datadriven"						"Skill Bash"
		"DOTA_Tooltip_ability_ultra_bash_datadriven_Description"						"A big damage bash with a big stun rewards skillful Bashlords for intelligent and thoughtful play"
		"DOTA_Tooltip_ability_ultra_bash_datadriven_chance"						"Bash Chance:"
		"DOTA_Tooltip_ability_ultra_bash_datadriven_bonus_damage"						"Damage:"
		"DOTA_Tooltip_ability_ultra_bash_datadriven_duration"						"Stun Duration:"
		"DOTA_Tooltip_ability_troll_warlord_battle_trance"						"King of Bash"
		"DOTA_Tooltip_ability_troll_warlord_battle_trance_Description"						"Bashlord Absorbs the energy of 1000 Spirit Breakers, channeling into extra attack speed for maximum bashing."
		"DOTA_Tooltip_ability_jugg_vanish"						"Ninja Vanish"
		"DOTA_Tooltip_ability_jugg_vanish_Description"						"Throw down a smoke bomb and temprarily disappear from sight, leaving your enemys slowed and silenced."
		"DOTA_Tooltip_ability_jugg_vanish_radius"						"Radius:"
		"DOTA_Tooltip_ability_jugg_vanish_duration"						"Duration:"
		"DOTA_Tooltip_ability_sniper_chopper"						"Chopper Gunner"
		"DOTA_Tooltip_ability_sniper_chopper_Description"						"Deploys a Attack Helicopter to the map, is will attack enemies for the duration."
		"DOTA_Tooltip_ability_sniper_chopper_duration"						"Duration:"
		"DOTA_Tooltip_ability_sniper_noobtube"						"Noob Tube"
		"DOTA_Tooltip_ability_sniper_noobtube_Description"						"Launch an grenade from your underbarrel grenade launcher, guaranteed to enrage enemys."
		"DOTA_Tooltip_ability_sniper_noobtube_nade_aoe"						"AOE:"
		"DOTA_Tooltip_ability_dark_seer_surge"						"Extreme Conditioning"
		"DOTA_Tooltip_ability_dark_seer_surge_Description"								"Allows you to break into a quick sprint, either to escape the area or get in range for a kill."
		"DOTA_Tooltip_ability_clinkz_strafe"											"Double Tap"
		"DOTA_Tooltip_ability_clinkz_strafe_Description"								"Special training allows you to dramatically increase the rate at which you fire your weapon."
		"DOTA_Tooltip_ability_gyrocopter_call_down"										"Predator Missile"
		"DOTA_Tooltip_ability_gyrocopter_call_down_Description"							"Allows you to call down a Predator Missile airstrike anywhere on the map"
		"DOTA_Tooltip_ability_roshan_rage"												"Roshan's Rage"
		"DOTA_Tooltip_ability_roshan_rage_attackspeed"									"Attack Speed:"
		"DOTA_Tooltip_ability_roshan_rage_movespeed"									"Move Speed:"
		"DOTA_Tooltip_ability_roshan_rage_attackdamage"									"Attack Damage"
		"DOTA_Tooltip_ability_roshan_rage_hpbonus"										"Bonus HP"		
		"DOTA_Tooltip_ability_roshan_rage_healthregen"									"HP Regen:"
		"DOTA_Tooltip_ability_roshan_rage_armour"										"Armour"
		"DOTA_Tooltip_ability_roshan_rage_Description"									"Free from his cave and unable to find his cheese, Roshan grows steadily angrier and stronger as the battle rages."
		"DOTA_Tooltip_ability_roshan_emerge"											"Violent Emergence"
		"DOTA_Tooltip_ability_roshan_emerge_Description"								"Roshan teleports to an enemy unit, exploding out of the ground beneath them and stunning everything in the area"
		"DOTA_Tooltip_ability_roshan_emerge_abilitydamage"								"Damage:"
		"DOTA_Tooltip_ability_roshan_emerge_stun"										"Stun:"
		"DOTA_Tooltip_ability_roshan_flames"											"Fire Breath"
		"DOTA_Tooltip_ability_roshan_flames_Description"								"Roshan inhales for a second before unleashing a torrent of flame from his mouth."
		"DOTA_Tooltip_ability_roshan_flames_channeltooltip"								"Channel Time:"
		"DOTA_Tooltip_ability_skeleton_king_reincarnation"								"Aegis of the Immortal"
		"DOTA_Tooltip_ability_skeleton_king_reincarnation_Description"					"Out of his lair and on his own, Roshan uses the aegis for himself to avoid death."
		"DOTA_Tooltip_ability_lich_chain_frost"											"Balls to the Wall"
		"DOTA_Tooltip_ability_lich_chain_frost_Description"								"Lich slams his balls against the enemy, damaging and slowing them, the ball's rubbery texture causes them to bounce around and find another target"
		"DOTA_Tooltip_ability_crystal_maiden_crystal_nova"								"Ballsplosion"
		"DOTA_Tooltip_ability_crystal_maiden_crystal_nova_Description"					"An icy explosion on the shape of a ball deals damage and slows everyone in the area"
		"DOTA_Tooltip_ability_dark_seer_vacuum"											"Ball Succ"
		"DOTA_Tooltip_ability_dark_seer_vacuum_Description"								"Suck enemys from a large area in, so they can enjoy your balls up lose and personal"
		"DOTA_Tooltip_ability_gibmoney_datadriven"										"Give Me Money!"
		"DOTA_Tooltip_ability_gibmoney_datadriven_Description"							"give yourself some money, shopping is cathartic, so treat yourself :)"
		"DOTA_Tooltip_ability_gibmoney_datadriven_bonus_gold"							"Bonus Gold:"
		"DOTA_Tooltip_ability_giveandtake"												"Give and Take"
		"DOTA_Tooltip_ability_giveandtake_Description"									"Give a unit a some gold, and deal damage equal to the amount of gold given"
		"DOTA_Tooltip_ability_giveandtake_bonus_gold"									"Bonus Gold:"
		"DOTA_Tooltip_ability_giveandtake_damage"										"Damage:"
		"DOTA_Tooltip_ability_paytowin"													"Pay To Win"
		"DOTA_Tooltip_ability_paytowin_attackspeed"										"Attack Speed:"
		"DOTA_Tooltip_ability_paytowin_movespeed"										"Move Speed:"
		"DOTA_Tooltip_ability_paytowin_attackdamage"									"Attack Damage"
		"DOTA_Tooltip_ability_paytowin_hpbonus"											"Bonus HP"		
		"DOTA_Tooltip_ability_paytowin_healthregen"										"HP Regen:"
		"DOTA_Tooltip_ability_paytowin_armour"											"Armour"
		"DOTA_Tooltip_ability_paytowin_Description"										"Pay a moderate fee for an advantage over your opponents, capitalism baby!"
		"DOTA_Tooltip_ability_sunshine_and_rainbows"									"Sunshine and Rainbows"
		"DOTA_Tooltip_ability_sunshine_and_rainbows_Description"						"Heal everyone on the map including yourself and grants you some bonus gold! Also features raindrops on roses and whiskers on kittens, bright copper kettles and warm woollen mittens, brown paper packages tied up with strings, etc etc."
		"DOTA_Tooltip_ability_sunshine_and_rainbows_duration"							"Duration:"
		"DOTA_Tooltip_ability_sunshine_and_rainbows_heal"								"Heal Per Second:"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will"							"Innocence Lost"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will_Description"				"The death of a good and kind creature does not go unpunished."
		"DOTA_Tooltip_ability_alchemist_unstable_concoction"							"20 Second Stun Lmao"
		"DOTA_Tooltip_ability_alchemist_unstable_concoction_Description"				"Brew up an unstable concoction that he can throw at an enemy hero, to stun and deal damage in an area around the explosion. The longer the concoction brews, the more damage it deals and the longer the stun. After 40 seconds, the brew reaches its maximum damage and stun time. However, after 40 seconds, the concoction will explode on Alchemist himself if not thrown."
		"DOTA_Tooltip_ability_alchemist_unstable_concoction_throw"						"Don't fuck it up."
		"DOTA_Tooltip_ability_alchemist_unstable_concoction_throw_Description"			">:|"
		"DOTA_Tooltip_ability_spawnlord_master_bash"									"Bash"
		"DOTA_Tooltip_ability_spawnlord_master_bash_Description"						"It's like, just a bash man."
		"DOTA_Tooltip_ability_spawnlord_master_bash_bash_chance"						"BASH CHANCE: "
		"DOTA_Tooltip_ability_spawnlord_master_bash_stun_duration"						"STUN DURATION: "
		"DOTA_Tooltip_ability_troll_warlord_fervor"										"Stay Still and Let Me Hit You!"
		"DOTA_Tooltip_ability_troll_warlord_fervor_Description"							"With each continuous blow on the same target, gain increased attack speed."
		"DOTA_Tooltip_ability_alchemist_chemical_rage"									"Focused Pummel"
		"DOTA_Tooltip_ability_alchemist_chemical_rage_Description"						"You move speed is lowered to a crawl, but you become practically invincible and have massively increased attack speed."
		"DOTA_Tooltip_ability_phase_datadriven"											"Phase"
		"DOTA_Tooltip_ability_phase_datadriven_Description"								"Allows you to pass through units, don't get tripped up!"
		"DOTA_Tooltip_ability_throw_poop"												"Throw Poop"
		"DOTA_Tooltip_ability_throw_poop_Description"									"An integral part of any monkeys arsenal, throw poop to slow and damage your enemys"
		"DOTA_Tooltip_ability_throw_poop_damage"										"Damage Over Time:"
		"DOTA_Tooltip_ability_monkey_king_wukongs_command_Description"					"Global Range. Monkey King creates a circular formation of soldiers that spread out from his position. If Monkey King leaves the area his soldiers disperse. The soldiers have Monkey King's attack and only target heroes. Monkey King and all his soldiers receive bonus damage for the spell's duration."
		
		
		"DOTA_Tooltip_ability_debuffer_split_shot"										"Lay Waste to your enemies"
		"DOTA_Tooltip_ability_debuffer_split_shot_Description"							"Litterally hit everyone in an AOE forever. Have Fun!"
		"DOTA_Tooltip_ability_debuffer_split_shot_damage_modifier"						"DAMAGE MODIFIER: "
		"DOTA_Tooltip_ability_debuffer_split_shot_split_shot_bonus_range"				"BONUS ATTACK RANGE: " 
		"DOTA_Tooltip_ability_debuffer_split_shot_arrow_count"							"ARROW COUNT: "
		
		
		"DOTA_Tooltip_ability_clinkz_burning_army"										"Call in the Troops"
		
		"DOTA_Tooltip_ability_scaling_essence_shift"									"Essence Shift"
		"DOTA_Tooltip_ability_scaling_essence_shift_Description"						"Steal all the stats untill their are non left!"
		"DOTA_Tooltip_ability_scaling_essence_shift_agi_gain"							"Agility: "
		"DOTA_Tooltip_ability_scaling_essence_shift_duration"							"Duration: "
		
		"DOTA_Tooltip_ability_stolen_eshift"											"Stolen Essence Shift"
		"DOTA_Tooltip_ability_stolen_eshift_Description"								"Keep what you get until your death!"
		"DOTA_Tooltip_ability_stolen_eshift_agi_gain"									"Agility: "
		
		"DOTA_Tooltip_ability_debuffer_overpower"										"Overpower"
		"DOTA_Tooltip_ability_debuffer_overpower_Description"							"MAXIMUM ATTACK SPEED!"
		"DOTA_Tooltip_ability_debuffer_overpower_max_attacks"							"Max Attacks: "
		
		"DOTA_Tooltip_ability_ferngully_perm_invis"										"I'm one with the trees"
		"DOTA_Tooltip_ability_ferngully_perm_invis_fade_delay"							"Fade Time: "
		"DOTA_Tooltip_ability_ferngully_perm_invis_Description"							"You get the idea, it's invis!"
		
		"DOTA_Tooltip_ability_mars_octarine"											"Faster Throwing"
		"DOTA_Tooltip_ability_mars_octarine_Description"								"Mars gain the ability to thorw his fucking spears faster"
		"DOTA_Tooltip_ability_mars_octarine_cooldown"									"Cooldown Reduction:"
		"DOTA_Tooltip_ability_mars_spear"												"IT'S A SPEAR"
		"DOTA_Tooltip_ability_mars_fast_spear"											"IT'S A FASTER SPEAR"	
		"DOTA_Tooltip_ability_mars_fast_spear_Description"								"Where the fuck does he hold all these spears? Basically its a low damage fast as fuck spear"
		"DOTA_Tooltip_ability_mars_fast_spear_damage"									"DAMAGE: "
		"DOTA_Tooltip_ability_mars_fast_spear_spear_range"								"SPEAR RANGE: "
		"DOTA_Tooltip_ability_mars_fast_spear_stun_duration"							"STUN DURATION: "
		"DOTA_Tooltip_ability_mars_fast_spear_spear_speed"								"SPEAR SPEED: "
		"DOTA_Tooltip_ability_mars_arena_of_blood"										"Watch out for the spears"
	
		"DOTA_Tooltip_ability_super_kill_my_self_double_edge"							"Double Edge"
		"DOTA_Tooltip_ability_super_kill_my_self_double_edge_Description"				"The sword you impale into your enemies has a second side you stab into yourself!"	
		"DOTA_Tooltip_ability_super_kill_my_self_double_edge_strength_damage"			"STRENGTH DAMAGE: "
		"DOTA_Tooltip_ability_super_kill_my_self_double_edge_edge_damage"				"DAMAGE: "
	
		"DOTA_Tooltip_ability_clusterfuck_fissure"										"Fissue"
		"DOTA_Tooltip_ability_clusterfuck_fissure_Description"							"Just some rocks in the way of everyone"
		"DOTA_Tooltip_ability_clusterfuck_fissure_fissure_range"						"FISSURE RANGE: "
		"DOTA_Tooltip_ability_clusterfuck_fissure_fissure_duration"						"FISSURE DURATION: "
		"DOTA_Tooltip_ability_clusterfuck_fissure_stun_duration"						"STUN DURATION: "
		
		"DOTA_Tooltip_ability_clusterfuck_warpath"										"Warpath"
		"DOTA_Tooltip_ability_clusterfuck_warpath_Description"							"MORE POWER!"
		"DOTA_Tooltip_ability_clusterfuck_warpath_damage_per_stack"						"DAMAGE PER STACK: "
		"DOTA_Tooltip_ability_clusterfuck_warpath_move_speed_per_stack"					"SPEED PER STACK: "
		"DOTA_Tooltip_ability_clusterfuck_warpath_stack_duration"						"STACK DURATION: "
		"DOTA_Tooltip_ability_clusterfuck_warpath_max_stacks"							"MAX STACKS: "
	
		"DOTA_Tooltip_ability_swarm_warcry"												"Warcry"
		"DOTA_Tooltip_ability_swarm_warcry_Description"									"Protect your illusions with the power of the shield!"		
		"DOTA_Tooltip_ability_swarm_warcry_movespeed"									"MOVESPEED: "
		"DOTA_Tooltip_ability_swarm_warcry_hp_shield"									"SHIELD HP: "
		"DOTA_Tooltip_ability_swarm_warcry_strength_multiplier"							"SHIELD STR MULTIPLIER: "
		"DOTA_Tooltip_ability_swarm_warcry_radius"										"RADIUS: "
		"DOTA_Tooltip_ability_swarm_warcry_duration"									"DURATION: "
		
		"DOTA_Tooltip_ability_pudge_wars_meat_hook"										"Meat Hook"
		"DOTA_Tooltip_ability_pudge_wars_meat_hook_Description"							"Hookers get paid!"
		"DOTA_Tooltip_ability_pudge_wars_meat_hook_hook_distance"						"CAST RANGE: "
		"DOTA_Tooltip_ability_pudge_wars_meat_hook_cooldown_scepter"					"SCEPTER COOLDOWN: "
		"DOTA_Tooltip_ability_pudge_wars_meat_hook_damage_scepter"						"SCEPTER DAMAGE: "
	
		"DOTA_Tooltip_ability_pudge_wars_rearm"											"Rearm"
		"DOTA_Tooltip_ability_pudge_wars_rearm_Description"								"Make sure to save some gold, you need it to rearm!"
		"DOTA_Tooltip_ability_pudge_wars_rearm_channel_tooltip"							"TIME TO REARM: "
		
		"DOTA_Tooltip_ability_snot_gozal_bristleback_warpath"							"Warpath"
		"DOTA_Tooltip_ability_snot_gozal_bristleback_warpath_Description"				"Lay waste to your enemies!"
		"DOTA_Tooltip_ability_snot_gozal_bristleback_warpath_damage_per_stack"			"DAMAGE PER STACK: "
		"DOTA_Tooltip_ability_snot_gozal_bristleback_warpath_move_speed_per_stack"		"MOVE SPEED PER STACK: "
		"DOTA_Tooltip_ability_snot_gozal_bristleback_warpath_stack_duration"			"STACK DURATION: "
		"DOTA_Tooltip_ability_snot_gozal_bristleback_warpath_max_stacks"				"MAX STACKS: "
	
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_goos"							"SLOW DOWN GOO"
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_goos_Description"				"A goo so sticky it slows your eneimies down. You should try to kill them now!"
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_goos_goo_duration"				"DURATION: "
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_goos_base_armor"				"BASE ARMOUR LOSS: "
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_goos_armor_per_stack"			"ARMOUR LOSS PER STACK: "
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_goos_base_move_slow"			"BASE MOVE SLOW: "
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_goos_move_slow_per_stack"		"MOVE SLOW PER STACK: "
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_goos_stack_limit"				"MAX STACKS: "
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_goos_radius_scepter"			"SCEPTER RADIUS: "
	
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_gooa"							"ARMOUR LOSS GOO"
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_gooa_Description"				"This goo takes all your eneimies defences away, take your shot!"
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_gooa_goo_duration"				"DURATION: "
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_gooa_base_armor"				"BASE ARMOUR LOSS: "
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_gooa_armor_per_stack"			"ARMOUR LOSS PER STACK: "
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_gooa_base_move_slow"			"BASE MOVE SLOW: "
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_gooa_move_slow_per_stack"		"MOVE SLOW PER STACK: "
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_gooa_stack_limit"				"MAX STACKS: "
		"DOTA_Tooltip_ability_bristleback_viscous_nasal_gooa_radius_scepter"			"SCEPTER RADIUS: "

		"DOTA_Tooltip_ability_spaceman_midnight_pulse"									"Midnight Pulse"
		"DOTA_Tooltip_ability_spaceman_midnight_pulse_Description"						"The pulse of midnight"
		"DOTA_Tooltip_ability_spaceman_midnight_pulse_radius"							"RADIUS: "
		"DOTA_Tooltip_ability_spaceman_midnight_pulse_damage_percent"					"DAMAGE PER SECOND: "
		"DOTA_Tooltip_ability_spaceman_midnight_pulse_duration"							"DURATION: "
		
		"DOTA_Tooltip_ability_deathbitch_octarine"										"The Will To Live"
		"DOTA_Tooltip_ability_deathbitch_octarine_Description"							"That feeling that you have to never die grows with in you"
		"DOTA_Tooltip_ability_deathbitch_octarine_cooldown"								"Cooldown Reduction:"
		
		"DOTA_Tooltip_Ability_deathbitch_reincarnation"									"Death Is My Bitch"
		"DOTA_Tooltip_Ability_deathbitch_reincarnation_Description"						"SUPRISE IM BACK BITCHESSSSSSS!"				
		"DOTA_Tooltip_Ability_deathbitch_reincarnation_reincarnate_time"				"REINCARNATION TIME: "
		"DOTA_Tooltip_Ability_deathbitch_reincarnation_movespeed"						"MOVE SLOW: "
		"DOTA_Tooltip_Ability_deathbitch_reincarnation_attackslow"						"ATTACK SLOW: "
		"DOTA_Tooltip_Ability_deathbitch_reincarnation_slow_duration"					"SLOW DURATION: "
		"DOTA_Tooltip_Ability_deathbitch_reincarnation_scepter_duration"				"SCEPTER ALLY DEATH DELAY: "
		"DOTA_Tooltip_Ability_deathbitch_reincarnation_aura_radius"						"SCEPTER ALLY DEATH RADIUS: "
		
		"DOTA_Tooltip_Ability_bitch_angle_form"											"Bitch Repelent"
		"DOTA_Tooltip_Ability_bitch_angle_form_Description"								"Can't touch me BITCH"
		"DOTA_Tooltip_Ability_bitch_angle_form_duration"								"DURATION:  "
		"DOTA_Tooltip_Ability_bitch_angle_form_aghanim_description"						"You get 7 seconds, make them count!"
		
		"DOTA_Tooltip_Ability_lycan_howl"												"Call to Arms"
		"DOTA_Tooltip_Ability_lycan_howl_description"									"You and your scarmy get immense amount of power added to you."

//=================================================================================================================
// HERO: Night Stalker (Batman) 
//==============================================================================================================
		"DOTA_Tooltip_ability_beastmaster_wild_axes"									"Batarang"
		"DOTA_Tooltip_ability_beastmaster_wild_axes_Description"						"Batman sends out the rangs to deal damage. Please get an aghanims scepter. I cant buff him anymore :)"
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night"						"Bat Sense"
		
		"DOTA_Tooltip_ability_night_stalker_darkness"									"The Rise of the Dark Knight"
		
		"DOTA_Tooltip_Ability_batman_vanish"											"Smoke Out"
		"DOTA_Tooltip_Ability_batman_vanish_Description"								"Night stalker smokes out and disapperes infront of everyones eyes"
		"DOTA_Tooltip_Ability_batman_radius"											"RADIUS: "
		"DOTA_Tooltip_Ability_batman_duration"											"DURATION: "

//=================================================================================================================
// HERO: Wraith King (Death is My Bitch)
//==============================================================================================================

		"DOTA_Tooltip_ability_deathbitch_octarine"										"The Will To Live"
		"DOTA_Tooltip_ability_deathbitch_octarine_Description"							"That feeling that you have to never die grows with in you"
		"DOTA_Tooltip_ability_deathbitch_octarine_cooldown"								"Cooldown Reduction:"
		
		"DOTA_Tooltip_Ability_deathbitch_reincarnation"									"Death Is My Bitch"
		"DOTA_Tooltip_Ability_deathbitch_reincarnation_Description"						"SUPRISE IM BACK BITCHESSSSSSS!"				
		"DOTA_Tooltip_Ability_deathbitch_reincarnation_reincarnate_time"				"REINCARNATION TIME: "
		"DOTA_Tooltip_Ability_deathbitch_reincarnation_movespeed"						"MOVE SLOW: "
		"DOTA_Tooltip_Ability_deathbitch_reincarnation_attackslow"						"ATTACK SLOW: "
		"DOTA_Tooltip_Ability_deathbitch_reincarnation_slow_duration"					"SLOW DURATION: "
		"DOTA_Tooltip_Ability_deathbitch_reincarnation_scepter_duration"				"SCEPTER ALLY DEATH DELAY: "
		"DOTA_Tooltip_Ability_deathbitch_reincarnation_aura_radius"						"SCEPTER ALLY DEATH RADIUS: "
		"DOTA_Tooltip_Ability_deathbitch_reincarnation_scepter_description"				"You get 7 seconds, make them count! (You and your allies enter the ghost realm when you die for 7 seconds before you actually meet the face of death"
		
		"DOTA_Tooltip_Ability_bitch_angle_form"											"Bitch Repelent"
		"DOTA_Tooltip_Ability_bitch_angle_form_Description"								"Can't touch me BITCH"
		"DOTA_Tooltip_Ability_bitch_angle_form_duration"								"DURATION:  "
		"DOTA_Tooltip_Ability_bitch_angle_form_scepter_description"						"YOU CAN'T BE TOUCHED BY THE FILTH (Ability affects all teammates globally)"

//=================================================================================================================
// HERO: Earthshaker (Harambe)
//==============================================================================================================
		
		"DOTA_Tooltip_ability_mirana_leap_description"                                   "With a grunt and a nostril blow, he grabs you, dragging your limp childlike body across the enclosure. This is the most intense erotic pleasure you have ever experienced in your whole life and you immediately cum in mere seconds. After stopping in a moonlit glen of the enclosure, Harambe lifts his massive erect gorilla cock and forces it into your anus, tearing your internal organs to shreds."
		"DOTA_Tooltip_ability_banana_panic"                                      		 "Banana Panic"
		"DOTA_Tooltip_ability_banana_panic_Description"                            		 "Summon 2/4/6/8 Bananas to lock your foes in place with the power of potassium"
		
		"DOTA_Tooltip_ability_lone_druid_true_form_battle_cry1"                          "Harambe's Burning Rage"
		"DOTA_Tooltip_ability_lone_druid_true_form_battle_cry1_Description"				 "The fear of losing your banana has you begin to spin out in a burning rage"				
		"DOTA_Tooltip_ability_lone_druid_true_form_battle_cry1_bonus_damage"			 "BONUS DAMAGE: "
		"DOTA_Tooltip_ability_lone_druid_true_form_battle_cry1_bonus_armor"				 "BONUS ARMOUR: "
		"DOTA_Tooltip_ability_lone_druid_true_form_battle_cry1_range"					 "RANGE: "
		
//=================================================================================================================
// HERO: Medusa (Split Shot)
//==============================================================================================================

		"DOTA_Tooltip_Ability_medusa_moon_glaives"										"Moon Glaives"
		"DOTA_Tooltip_Ability_medusa_moon_glaives_Description"							"BOUNCE AND BOUNCE AND BOUCE IT GOES"		
		"DOTA_Tooltip_Ability_medusa_moon_glaives_range"								"BOUNCE RADIUS: "
		"DOTA_Tooltip_Ability_medusa_moon_glaives_bounces"								"BOUNCES: "
		"DOTA_Tooltip_Ability_medusa_moon_glaives_damage_reduction_percent"				"DAMAGE REDUCTION PER BOUNCE: "

//=================================================================================================================
// HERO: Drow Ranger (The Glass Cannon)
//==============================================================================================================

		"DOTA_Tooltip_Ability_drow_ranger_overpower"									"Drow's Fury"
		"DOTA_Tooltip_Ability_drow_ranger_overpower_Description"						"Drow drinks some GFuel, not sponsored but hit me up GFuel, to get to optimal gaming position gaining attack speed for the next 3/4/5/6 attacks"
		"DOTA_Tooltip_Ability_drow_ranger_overpower_AbilityDuration"					"DURATION: "
		"DOTA_Tooltip_Ability_drow_ranger_overpower_max_attacks"						"MAX ATTACKS: "
		"DOTA_Tooltip_Ability_drow_ranger_overpower_attack_speed_bonus_pct"				"ATTACK SPEED BONUS: "
		
		"DOTA_Tooltip_Ability_drow_ranger_headshot"										"Headshot BABBBBBYYYY"
		"DOTA_Tooltip_Ability_drow_ranger_headshot_Description"							"just hit them in the 4head lul"
		"DOTA_Tooltip_Ability_drow_ranger_headshot_proc_chance"							"CHANCE: "
		"DOTA_Tooltip_Ability_drow_ranger_headshot_knockback_distance"					"KNOCKBACK DISTANCE: "
		
		"DOTA_Tooltip_Ability_drow_ranger_fervor"										"Drow's Tunnel Vision"
		"DOTA_Tooltip_Ability_drow_ranger_fervor_Description"							"Drow sights eyes on a single target increaing her attack speed with each consecutive attack"
		"DOTA_Tooltip_Ability_drow_ranger_fervor_attack_speed"							"ATTACK SPEED: "
		"DOTA_Tooltip_Ability_drow_ranger_fervor_max_stacks"							"MAX STACKS: "
		
		"DOTA_Tooltip_Ability_dnd2_drow_ranger_marksmenship"							"The Glass Cannon"
		"DOTA_Tooltip_Ability_dnd2_drow_ranger_marksmenship_Description"				"Sometimes it is all left to chance. If an enemy is not near you, you have a chance to deal a huge amount of bonus damage"
